participant_code,pair_condition,unordered_pair_index,human_unordered_pair_id,condition,position,family,env_id,variant,solved,attempts,first_attempt_success,first_attempt_x,first_attempt_y,success_attempt,success_x,success_y
H-6893D85D,same_family,4,same_family_unordered_04,downward,1,Balance,8,original,True,5,False,457.0,336.0,5,382.0,559.0
H-6893D85D,same_family,4,same_family_unordered_04,downward,2,Balance,4,original,True,1,True,434.0,504.0,1,434.0,504.0
H-28FF6B4E,reflected,1,reflected_unordered_01,upward,1,BackUp,3,reflect_y,True,1,True,296.0,414.0,1,296.0,414.0
H-28FF6B4E,reflected,1,reflected_unordered_01,upward,2,BackUp,3,original,True,1,True,234.0,414.0,1,234.0,414.0
H-FDF6B460,different_family,14,different_family_unordered_14,downward,1,BalanceUnder,8,original,True,2,False,519.0,313.0,2,289.0,361.0
H-FDF6B460,different_family,14,different_family_unordered_14,downward,2,Remove,5,original,True,4,False,244.0,544.0,4,311.0,378.0
H-4AF081DD,reflected,12,reflected_unordered_12,downward,1,Falling,3,reflect_y,True,8,False,305.0,129.0,8,248.0,550.0
H-4AF081DD,reflected,12,reflected_unordered_12,downward,2,Falling,3,original,True,2,False,331.0,551.0,2,337.0,532.0
H-11902C88,different_family,11,different_family_unordered_11,upward,1,FallingAlt,7,original,True,2,False,328.0,432.0,2,347.0,245.0
H-11902C88,different_family,11,different_family_unordered_11,upward,2,BalanceUnder,5,original,True,2,False,318.0,313.0,2,312.0,143.0
H-E5335A71,same_family,7,same_family_unordered_07,upward,1,BalanceUnder,8,original,True,2,False,251.0,345.0,2,134.0,123.0
H-E5335A71,same_family,7,same_family_unordered_07,upward,2,BalanceUnder,2,original,True,8,False,357.0,174.0,8,296.0,134.0
H-3AD36AD2,different_family,16,different_family_unordered_16,downward,1,Remove,8,original,True,1,True,299.0,443.0,1,299.0,443.0
H-3AD36AD2,different_family,16,different_family_unordered_16,downward,2,FallingAlt,4,original,True,3,False,122.0,215.0,3,353.0,255.0
H-FA410FDF,same_family,7,same_family_unordered_07,upward,1,BalanceUnder,2,original,True,7,False,85.0,346.0,7,324.0,180.0
H-FA410FDF,same_family,7,same_family_unordered_07,upward,2,BalanceUnder,8,original,True,4,False,258.0,113.0,4,194.0,170.0
H-236E2D1F,same_family,2,same_family_unordered_02,downward,1,BackUp,7,original,True,5,False,69.0,412.0,5,330.0,56.0
H-236E2D1F,same_family,2,same_family_unordered_02,downward,2,BackUp,9,original,True,3,False,155.0,121.0,3,547.0,159.0
H-073B72E6,reflected,8,reflected_unordered_08,downward,1,BalanceUnder,5,original,True,2,False,122.0,423.0,2,318.0,383.0
H-073B72E6,reflected,8,reflected_unordered_08,downward,2,BalanceUnder,5,reflect_y,True,3,False,321.0,306.0,3,266.0,423.0
H-D7778C77,same_family,12,same_family_unordered_12,downward,1,Falling,9,original,True,2,False,102.0,198.0,2,178.0,108.0
H-D7778C77,same_family,12,same_family_unordered_12,downward,2,Falling,3,original,False,10,False,288.0,376.0,,,
H-05CAC4BF,reflected,19,reflected_unordered_19,upward,1,Remove,6,reflect_y,True,2,False,309.0,396.0,2,216.0,409.0
H-05CAC4BF,reflected,19,reflected_unordered_19,upward,2,Remove,6,original,True,1,True,366.0,403.0,1,366.0,403.0
H-79CE65EC,different_family,15,different_family_unordered_15,upward,1,Remove,6,original,True,9,False,302.0,379.0,9,412.0,478.0
