model_key,gravity,matched_goals,spearman_action_gain_terminal_transfer,spearman_p_value,bootstrap_ci95_low,bootstrap_ci95_high
gemini31pro,all,125,-0.11249947288994008,0.21162271890841464,-0.2861133256457089,0.06586424202170152
gemini31pro,downward,66,-0.1079228540735463,0.38839019739564373,-0.31581957411299966,0.11348998782510555
gemini31pro,upward,59,-0.06853083872151028,0.6060363252799594,-0.36255614748079174,0.2274673964419123
gpt5,all,91,-0.1115718156328311,0.29238418933921084,-0.30258561261593553,0.08632570795637626
gpt5,downward,47,-0.07577660820991007,0.6126893885806646,-0.3534637376359036,0.21011915714974505
gpt5,upward,44,-0.1822467858656801,0.23639966332772527,-0.45749223151273705,0.11667048094406937
qwen36plus,all,16,-0.2761289694035326,0.3005642361826608,-0.5839284164782111,0.07132189348967986
qwen36plus,downward,9,-0.27386127875258304,0.47579723851802413,-0.7391455924894309,0.28097574347450816
qwen36plus,upward,7,-0.40824829046386296,0.36321746764912255,-0.9074852129730302,0.0
