model_key,coupling,matched_goals,spearman_rho,ci95_low,ci95_high,feedback_condition,transfer_definition,bootstrap_cluster,bootstrap_draws,seed
gpt5,action_gain_vs_heldout_transfer,95,0.09988662898864444,-0.12899669079490353,0.3225255062110278,trace_status,terminal_post_minus_pre_PQ_for_same_fixed_unexecuted_placement,base_layout,5000,2026
gpt5,prospective_prediction_gain_vs_heldout_transfer,95,0.0963620609859915,-0.14111164404839602,0.315941664020364,trace_status,terminal_post_minus_pre_PQ_for_same_fixed_unexecuted_placement,base_layout,5000,2026
gemini31pro,action_gain_vs_heldout_transfer,125,0.04625377010396935,-0.15135191437625783,0.24448370392028385,trace_status,terminal_post_minus_pre_PQ_for_same_fixed_unexecuted_placement,base_layout,5000,2026
gemini31pro,prospective_prediction_gain_vs_heldout_transfer,125,-0.06131919290179611,-0.2697045427140989,0.15658532622743304,trace_status,terminal_post_minus_pre_PQ_for_same_fixed_unexecuted_placement,base_layout,5000,2026
qwen36plus,action_gain_vs_heldout_transfer,16,-0.18696095408522231,-0.7175024515757233,0.3515234095800473,trace_status,terminal_post_minus_pre_PQ_for_same_fixed_unexecuted_placement,base_layout,5000,2026
qwen36plus,prospective_prediction_gain_vs_heldout_transfer,16,0.1118517881431607,-0.32245846375500836,0.4949780276590309,trace_status,terminal_post_minus_pre_PQ_for_same_fixed_unexecuted_placement,base_layout,5000,2026
