model_key,arm,reference,gravity,matched_units,base_layouts,mean_arm_minus_retry_preterminal_action_quality,ci95_low,ci95_high,eligibility
gemini_robotics_er,full,neither,all,82,49,0.06291501929078615,-0.042334877830587536,0.17046629302240493,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini_robotics_er,full,neither,downward,43,43,0.03361939858038672,-0.08016011444869817,0.14690812293736882,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini_robotics_er,full,neither,upward,39,39,0.0881711174655224,-0.042290415850657646,0.22295339127409144,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini_robotics_er,trace_status,neither,all,4,4,-0.22832864766339436,-0.6165916567339873,0.0065076177901750715,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini_robotics_er,trace_status,neither,downward,2,2,-0.052110424200523274,-0.10421092504172003,-9.923359326524007e-06,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
gemini_robotics_er,trace_status,neither,upward,2,2,-0.4045468711262655,-0.8221189011922077,0.013025158939676667,shared_attempt_1_failed_and_both_branches_have_at_least_2_attempts
